token,action,correct to
giovo,,"[['giov', 'young'], ['-o', '?']]"
ha,,"[['ha', 'have:3SG']]"
HABÍA,,"[['HAB', 'have'], ['-Í', 'IMPF'], ['-A', '?']]"
han,,"[['han', 'have:3PL']]"
parlavo,,"[['parl', 'speak'], ['-av', 'IMPF'], ['-o', '?']]"
parlo,,"[['parl', 'speak'], ['-o', '?']]"
sono,,"[['sono', 'be:?']]"
tan,,"[['tan', 'much']]"
UNA,,"[['UNA', 'one:F']]"
va,,"[['va', 'go:3SG']]"
CASTELLANO,,"[['CASTELLAN', 'Castilian'], ['-O', 'SG']]"
ero,,"[['ero', 'be:IMPF.?']]"
LE,,"[['LE', '3?.OBL']]"
MEDIO,,"[['MEDI', 'half'], ['-O', 'SG']]"
PIEMONTéS,,"[['PIEMONTéS', 'Piedmontese']]"
a,REMOVE,"[['a', '']]"
A,REMOVE,"[['A', '']]"
al,REMOVE,"[['al', '']]"
an,REMOVE,"[['an', '']]"
ca,REMOVE,"[['ca', '']]"
che,REMOVE,"[['che', '']]"
d,REMOVE,"[['d', '']]"
da,REMOVE,"[['da', '']]"
DE,REMOVE,"[['DE', '']]"
de,REMOVE,"[['de', '']]"
EL,REMOVE,"[['EL', '']]"
ESTA,REMOVE,"[['ESTA', '']]"
fa,REMOVE,"[['fa', '']]"
fe,REMOVE,"[['fe', '']]"
l,REMOVE,"[['l', '']]"
la,REMOVE,"[['la', '']]"
LA,REMOVE,"[['LA', '']]"
LE,REMOVE,"[['LE', '']]"
LO,REMOVE,"[['LO', '']]"
lo,REMOVE,"[['lo', '']]"
me,REMOVE,"[['me', '']]"
mi,REMOVE,"[['mi', '']]"
mòrt,REMOVE,"[['mòrt', '']]"
n,REMOVE,"[['n', '']]"
per,REMOVE,"[['per', '']]"
QUE,REMOVE,"[['QUE', '']]"
sa,REMOVE,"[['sa', '']]"
se,REMOVE,"[['se', '']]"
SE,REMOVE,"[['SE', '']]"
SI,REMOVE,"[['SI', '']]"
sì,REMOVE,"[['sì', '']]"
son,REMOVE,"[['son', '']]"
tacà,REMOVE,"[['tacà', '']]"
VINO,REMOVE,"[['VINO', '']]"
