token,if the encountered value is,correct to,language
ABUELOS,"[['ABUEL', 'grandparent'], ['-OS', 'M.PL.']]","[['ABUEL', 'grandparent'], ['-OS', 'M.PL']]",spa
AL,"[['AL', 'to.the:M.SG']]","[['AL', 'to_the:M.SG']]",spa
ancheui,"[['ancheui', 'nowadays']]","[['ancheui', 'today']]",piem
aota,"[['aota', 'other']]","[['aot', 'other'], ['-a', 'F.SG']]",piem
ASÍ,"[['ASÍ', 'like_this']]","[['ASÍ', 'so']]",spa
ASOCIACIÓN,"[['ASOCIACIÓN', 'association']]","[['ASOCIACIÓN', 'association:SG']]",spa
avìo,"[['av', 'have'], ['-ì', 'IMPF'], ['-o', '1SG']]","[['avìo', 'have:IMPF.1SG']]",piem
avìo,"[['avìo', 'have:AUX.IMPF.1SG']]","[['avìo', 'AUX:IMPF.1SG']]",piem
belessì,"[['belessì', 'right_here']]","[['belessì', 'here']]",piem
BUENO,"[['BUENO', 'BUENO']]","[['BUENO', 'well']]",spa
cacciatori,"[['cacciator', 'hunter'], ['-i', 'M.PL']]","[['cacciator', 'hunter'], ['-i', 'PL']]",piem
CASTELLANO,"[['CASTELLAN', 'Castilian'], ['-O', 'M.SG']]","[['CASTELLAN', 'Castilian'], ['-O', 'SG']]",spa
CASTILLA,"[['CASTILL', 'Castilian'], ['-A', 'F.SG']]","[['CASTILL', 'Castilian'], ['-A', 'SG']]",spa
CASTILLA,"[['CASTILL', 'castle'], ['-A', 'SG']]","[['CASTILL', 'Castilian'], ['-A', 'SG']]",spa
CONOCER,"[['CONOC', 'know'], ['ER', 'be:IMPF']]","[['CONOC', 'know'], ['-ER', 'INF']]",spa
conossì,"[['conoss', 'know'], ['-ì', 'PP']]","[['conossì', 'know:PP']]",piem
CORDOBA,"[['CORDOBA', 'Cordova']]","[['CORDOBA', 'Cordoba']]",spa
còse,"[['còs', 'thing'], ['-e', 'F.PL']]","[['còs', 'thing'], ['-e', 'PL']]",piem
DEL,"[['DE', 'of'], ['L', 'the:M.SG']]","[['DEL', 'of_the']]",spa
DEL,"[['DEL', 'of.the:M.SG']]","[['DEL', 'of_the:M.SG']]",spa
dël,"[['dël', 'of.the:M.SG']]","[['dël', 'of_the:M.SG']]",piem
doi,"[['doi', 'two:M']]","[['doi', 'two']]",piem
ëd,"[['ёd', 'of']]","[['ëd', 'of']]",piem
EH,"[['eh', 'eh']]","[['EH', 'eh']]",spa
EH,"[['EH', 'EH']]","[['EH', 'eh']]",spa
EN,"[['EN', 'spa']]","[['EN', 'in']]",spa
ENTONCES,"[['ENTONCES', 'then']]","[['ENTONCES', 'so']]",spa
